born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Physiology or Medicine	United Kingdom	1881-08-06	1955-03-11	male	http://en.wikipedia.org/wiki/Alexander_Fleming	Alexander Fleming	Lochfield , Scotland	London, England	Alexander Fleming , Physiology or Medicine, 1945	1945	64
Germany	Physiology or Medicine	United Kingdom	1906-06-19	1979-08-12	male	http://en.wikipedia.org/wiki/Ernst_Boris_Chain	Ernst Boris Chain	Berlin	Castlebar, Ireland	Ernst Boris Chain ,  born in Germany , Physiology or Medicine, 1945	1945	39
	Chemistry	United Kingdom	1886-09-13	1975-02-08	male	http://en.wikipedia.org/wiki/Robert_Robinson_(organic_chemist)	Robert Robinson	Derbyshire , England	Great Missenden ,  Buckinghamshire , England	Robert Robinson , Chemistry, 1947	1947	61
	Physics	United Kingdom	1892-09-06	1965-04-21	male	http://en.wikipedia.org/wiki/Edward_Victor_Appleton	Edward Victor Appleton	Bradford ,  West Yorkshire ,  England	Edinburgh ,  Scotland	Edward Victor Appleton , Physics, 1947	1947	55
	Physics	United Kingdom	1897-11-18	1974-07-13	male	http://en.wikipedia.org/wiki/Patrick_Blackett,_Baron_Blackett	Patrick Blackett	London, England	London, England	Patrick Blackett, Baron Blackett , Physics, 1948	1948	51
	Peace	United Kingdom	1880-09-23	1971-06-25	male	http://en.wikipedia.org/wiki/John_Boyd_Orr	John Boyd Orr	Kilmaurs ,  East Ayrshire	Edzell ,  Angus	John Boyd Orr , Peace, 1949	1949	69
	Physics	United States	1969-12-16		male	http://en.wikipedia.org/wiki/Adam_G._Riess	Adam G. Riess	Washington, D.C., United States		Adam G. Riess , Physics, 2011	2011	42
	Physics	United States	1967-02-24		male	http://en.wikipedia.org/wiki/Brian_P._Schmidt	Brian P. Schmidt	Missoula, Montana		Brian P. Schmidt , Physics, 2011	2011	44
	Physics	United States	1959-09-22		male	http://en.wikipedia.org/wiki/Saul_Perlmutter	Saul Perlmutter	Champaign-Urbana ,  Illinois ,  U.S.		Saul Perlmutter , Physics, 2011	2011	52
	Economics	United States	1943-07-19		male	http://en.wikipedia.org/wiki/Thomas_J._Sargent	Thomas J. Sargent	Pasadena, California		Thomas J. Sargent , Economics, 2011	2011	68
	Economics	United States	1942-10-21		male	http://en.wikipedia.org/wiki/Christopher_A._Sims	Christopher A. Sims	Washington, D.C.		Christopher A. Sims , Economics, 2011	2011	69
	Physics	United States	1944-02-24		male	http://en.wikipedia.org/wiki/David_J._Wineland	David J. Wineland	Milwaukee, Wisconsin, USA		David J. Wineland , Physics, 2012	2012	68
	Chemistry	United States	1943-04-15		male	http://en.wikipedia.org/wiki/Robert_J._Lefkowitz	Robert J. Lefkowitz	Bronx, New York , United States		Robert J. Lefkowitz , Chemistry, 2012	2012	69
	Chemistry	United States	1955-05-30		male	http://en.wikipedia.org/wiki/Brian_Kobilka	Brian K. Kobilka	Little Falls, Minnesota ,  USA		Brian K. Kobilka , Chemistry, 2012	2012	57
	Economics	United States	1923-06-02		male	http://en.wikipedia.org/wiki/Lloyd_S._Shapley	Lloyd S. Shapley	Cambridge, Massachusetts		Lloyd S. Shapley , Economics, 2012	2012	89
	Economics	United States	1951-12-19		male	http://en.wikipedia.org/wiki/Alvin_E._Roth	Alvin E. Roth	New York City		Alvin E. Roth , Economics, 2012	2012	61
	Physiology or Medicine	United States	1950-11-03		male	http://en.wikipedia.org/wiki/James_Rothman	James Rothman	Haverhill, Massachusetts		James Rothman , Physiology or Medicine, 2013	2013	63
	Physiology or Medicine	United States	1955-12-22		male	http://en.wikipedia.org/wiki/Thomas_C._S%C3%BCdhof	Thomas C. Südhof	Göttingen, Germany		Thomas C. Südhof ,  born in Germany , Physiology or Medicine, 2013	2013	58
	Physiology or Medicine	United States	1948-12-30		male	http://en.wikipedia.org/wiki/Randy_Schekman	Randy Schekman	Saint Paul, Minnesota, USA		Randy Schekman , Physiology or Medicine, 2013	2013	65
Austria	Chemistry	United States	1930-03-15		male	http://en.wikipedia.org/wiki/Martin_Karplus	Martin Karplus	Vienna ,  Austria		Martin Karplus ,  born in Austria , Chemistry, 2013	2013	83
	Chemistry	United States	1940-11-20		male	http://en.wikipedia.org/wiki/Arieh_Warshel	Arieh Warshel	Kibbutz Sde Nahum, Israel		Arieh Warshel ,  born in Israel , Chemistry, 2013	2013	73
	Economics	United States	1920-11-05		male	http://en.wikipedia.org/wiki/Douglass_C._North	Douglass C. North	Cambridge, Massachusetts		Douglass C. North , Economics, 1993	1993	73
	Economics	United States	1926-07-01	2013-06-11	male	http://en.wikipedia.org/wiki/Robert_W._Fogel	Robert W. Fogel	New York City	Oak Lawn, Illinois , U.S.	Robert W. Fogel , Economics, 1993	1993	67
	Chemistry	United States	1944-12-28		male	http://en.wikipedia.org/wiki/Kary_B._Mullis	Kary B. Mullis	Lenoir, North Carolina, United States		Kary B. Mullis , Chemistry, 1993	1993	49
	Physiology or Medicine	United States	1925-12-01	1998-12-07	male	http://en.wikipedia.org/wiki/Martin_Rodbell	Martin Rodbell	Baltimore ,  Maryland ,  U.S.	Chapel Hill, North Carolina ,  U.S.	Martin Rodbell , Physiology or Medicine, 1994	1994	69
	Physiology or Medicine	United States	1941-07-01		male	http://en.wikipedia.org/wiki/Alfred_G._Gilman	Alfred G. Gilman	New Haven, Connecticut		Alfred G. Gilman , Physiology or Medicine, 1994	1994	53
	Physics	United States	1915-09-23	2001-03-31	male	http://en.wikipedia.org/wiki/Clifford_Shull	Clifford G. Shull	Pittsburgh, Pennsylvania	Medford, Massachusetts	Clifford G. Shull , Physics, 1994	1994	79
	Economics	United States	1928-06-13		male	http://en.wikipedia.org/wiki/John_Forbes_Nash	John Forbes Nash	Bluefield, West Virginia, United States		John Forbes Nash , Economics, 1994	1994	66
	Economics	United States	1920-05-29	2000-08-09	male	http://en.wikipedia.org/wiki/John_Charles_Harsanyi	John Charles Harsanyi	Budapest ,  Hungary	Berkeley, California ,  USA	John Charles Harsanyi ,  born in Hungary , Economics, 1994	1994	74
	Chemistry	United States	1927-05-22		male	http://en.wikipedia.org/wiki/George_Andrew_Olah	George Andrew Olah	Budapest ,  Hungary		George Andrew Olah ,  born in Hungary , Chemistry, 1994	1994	67
	Physiology or Medicine	United States	1947-06-08		male	http://en.wikipedia.org/wiki/Eric_F._Wieschaus	Eric F. Wieschaus	South Bend, Indiana		Eric F. Wieschaus , Physiology or Medicine, 1995	1995	48
	Physiology or Medicine	United States	1918-05-20	2004-07-21	male	http://en.wikipedia.org/wiki/Edward_B._Lewis	Edward B. Lewis	Wilkes-Barre, Pennsylvania	Pasadena, California	Edward B. Lewis , Physiology or Medicine, 1995	1995	77
	Physics	United States	1918-03-16	1998-08-26	male	http://en.wikipedia.org/wiki/Frederick_Reines	Frederick Reines	Paterson, New Jersey		Frederick Reines , Physics, 1995	1995	77
	Physics	United States	1927-06-24	2014-09-30	male	http://en.wikipedia.org/wiki/Martin_L._Perl	Martin L. Perl	New York	Stanford, California	Martin L. Perl , Physics, 1995	1995	68
	Economics	United States	1937-09-15		male	http://en.wikipedia.org/wiki/Robert_Lucas,_Jr.	Robert Lucas	Yakima, Washington		Robert Lucas, Jr. , Economics, 1995	1995	58
	Chemistry	United States	1927-06-28	2012-03-11	male	http://en.wikipedia.org/wiki/F._Sherwood_Rowland	F. Sherwood Rowland	Delaware, Ohio	Newport Beach, California	F. Sherwood Rowland , Chemistry, 1995	1995	68
	Chemistry	United States	1943-03-19		male	http://en.wikipedia.org/wiki/Mario_J._Molina	Mario J. Molina	Mexico City ,  Mexico		Mario J. Molina ,  born in Mexico , Chemistry, 1995	1995	52
	Physics	United States	1931-09-29		male	http://en.wikipedia.org/wiki/James_Cronin	James Cronin	Chicago, Illinois ,  USA		James Cronin , Physics, 1980	1980	49
Poland	Literature	United States	1911-06-30	2004-08-14	male	http://en.wikipedia.org/wiki/Czes%C5%82aw_Mi%C5%82osz	Czesław Miłosz	Šeteniai, near  Kėdainiai , (then  Russian Empire , now  Lithuania )	Kraków ,  Poland	Czesław Miłosz ,  born in then Russian Empire, now Lithuania , Literature, 1980	1980	69
	Economics	United States	1920-09-14	2013-10-20	male	http://en.wikipedia.org/wiki/Lawrence_R._Klein	Lawrence R. Klein	Omaha, Nebraska, U.S.	Gladwyne, Pennsylvania , U.S.	Lawrence R. Klein , Economics, 1980	1980	60
	Chemistry	United States	1926-06-30		male	http://en.wikipedia.org/wiki/Paul_Berg	Paul Berg	Brooklyn ,  New York		Paul Berg , Chemistry, 1980	1980	54
	Chemistry	United States	1932-03-21		male	http://en.wikipedia.org/wiki/Walter_Gilbert	Walter Gilbert	Boston ,  Massachusetts ,  U.S.		Walter Gilbert , Chemistry, 1980	1980	48
	Physiology or Medicine	United States	1913-08-20	1994-04-17	male	http://en.wikipedia.org/wiki/Roger_Wolcott_Sperry	Roger W. Sperry	Hartford, Connecticut	Pasadena, California	Roger W. Sperry , Physiology or Medicine, 1981	1981	68
Canada	Physiology or Medicine	United States	1926-02-27	2013-09-22	male	http://en.wikipedia.org/wiki/David_H._Hubel	David H. Hubel	Windsor, Ontario, Canada	Lincoln, Massachusetts, United States	David H. Hubel ,  born in Canada , Physiology or Medicine, 1981	1981	55
	Physics	United States	1921-05-05	1999-04-28	male	http://en.wikipedia.org/wiki/Arthur_L._Schawlow	Arthur L. Schawlow	Mount Vernon, New York	Palo Alto, California	Arthur L. Schawlow , Physics, 1981	1981	60
Netherlands	Physics	United States	1920-03-11		male	http://en.wikipedia.org/wiki/Nicolaas_Bloembergen	Nicolaas Bloembergen	Dordrecht ,  Netherlands		Nicolaas Bloembergen ,  born in the Netherlands , Physics, 1981	1981	61
	Economics	United States	1918-03-05	2002-03-11	male	http://en.wikipedia.org/wiki/James_Tobin	James Tobin	Champaign, Illinois ,  USA	New Haven, Connecticut , USA	James Tobin , Economics, 1981	1981	63
Ukraine	Chemistry	United States	1937-07-18		male	http://en.wikipedia.org/wiki/Roald_Hoffmann	Roald Hoffmann	Zolochiv , Ukraine		Roald Hoffmann ,  born in then Poland, now Ukraine , Chemistry, 1981	1981	44
	Physics	United States	1936-06-08	2013-06-15	male	http://en.wikipedia.org/wiki/Kenneth_G._Wilson	Kenneth G. Wilson	Waltham, Massachusetts	Saco, Maine	Kenneth G. Wilson , Physics, 1982	1982	46
	Economics	United States	1911-01-17	1991-12-01	male	http://en.wikipedia.org/wiki/George_J._Stigler	George J. Stigler	Seattle, Washington	Chicago, Illinois	George J. Stigler , Economics, 1982	1982	71
	Physiology or Medicine	United States	1902-06-16	1992-09-02	female	http://en.wikipedia.org/wiki/Barbara_McClintock	Barbara McClintock	Hartford ,  Connecticut	Huntington ,  New York	Barbara McClintock , Physiology or Medicine, 1983	1983	81
India	Physics	United States	1910-10-19	1995-08-21	male	http://en.wikipedia.org/wiki/Subrahmanyan_Chandrasekhar	Subrahmanyan Chandrasekhar	Lahore , ( British India ), now  Pakistan .	Chicago ,  Illinois ,  U.S.	Subrahmanyan Chandrasekhar ,  born in then British India, now Pakistan , Physics, 1983	1983	73
	Physics	United States	1911-08-09	1995-03-14	male	http://en.wikipedia.org/wiki/William_A._Fowler	William A. Fowler	Pittsburgh ,  Pennsylvania	Pasadena ,  California	William A. Fowler , Physics, 1983	1983	72
	Physiology or Medicine	United States	1906-11-18	1997-04-12	male	http://en.wikipedia.org/wiki/George_Wald	George Wald	New York City	Cambridge, Massachusetts	George Wald , Physiology or Medicine, 1967	1967	61
	Physiology or Medicine	United States	1903-12-22	1983-03-17	male	http://en.wikipedia.org/wiki/Haldan_Keffer_Hartline	Haldan Keffer Hartline	Bloomsburg, Pennsylvania , US	Fallston, Maryland , US	Haldan Keffer Hartline , Physiology or Medicine, 1967	1967	64
	Physics	United States	1906-07-02	2005-03-06	male	http://en.wikipedia.org/wiki/Hans_Bethe	Hans Bethe	Strassburg , Germany	Ithaca ,  NY , U.S.	Hans Bethe ,  born in then Germany, now France , Physics, 1967	1967	61
	Physiology or Medicine	United States	1927-04-10	2010-01-15	male	http://en.wikipedia.org/wiki/Marshall_Warren_Nirenberg	Marshall Warren Nirenberg	New York City	New York City	Marshall Warren Nirenberg , Physiology or Medicine, 1968	1968	41
	Physiology or Medicine	United States	1922-01-09	2011-11-09	male	http://en.wikipedia.org/wiki/Har_Gobind_Khorana	Har Gobind Khorana	Raipur ,  Punjab , Pakistan	Concord, Massachusetts , U.S.	Har Gobind Khorana ,  born in British India, now Pakistan , Physiology or Medicine, 1968	1968	46
	Physiology or Medicine	United States	1922-01-28	1993-02-11	male	http://en.wikipedia.org/wiki/Robert_W._Holley	Robert W. Holley	Urbana, Illinois	Los Gatos, California	Robert W. Holley , Physiology or Medicine, 1968	1968	46
	Physics	United States	1911-06-13	1988-09-01	male	http://en.wikipedia.org/wiki/Luis_Walter_Alvarez	Luis Alvarez	San Francisco, California ,  USA	Berkeley, California	Luis Alvarez , Physics, 1968	1968	57
	Chemistry	United States	1903-11-27	1976-10-05	male	http://en.wikipedia.org/wiki/Lars_Onsager	Lars Onsager	Christiania , ( Oslo ),  Norway	Coral Gables ,  Florida ,  U.S.	Lars Onsager ,  born in Norway , Chemistry, 1968	1968	65
Italy	Physiology or Medicine	United States	1912-08-13	1991-02-06	male	http://en.wikipedia.org/wiki/Salvador_Luria	Salvador Luria	Turin ,  Italy	Lexington, Massachusetts	Salvador Luria ,  born in Italy , Physiology or Medicine, 1969	1969	57
	Physiology or Medicine	United States	1908-12-04	1997-05-22	male	http://en.wikipedia.org/wiki/Alfred_Hershey	Alfred Hershey	Hasings,Minnesota	Syosset, New York	Alfred Hershey , Physiology or Medicine, 1969	1969	61
Germany	Physiology or Medicine	United States	1906-09-04	1981-03-09	male	http://en.wikipedia.org/wiki/Max_Delbr%C3%BCck	Max Delbrück	Berlin ,  German Empire	Pasadena, California ,  United States	Max Delbrück ,  born in Germany , Physiology or Medicine, 1969	1969	63
	Physics	United States	1929-09-15		male	http://en.wikipedia.org/wiki/Murray_Gell-Mann	Murray Gell-Mann	Manhattan ,  New York City ,  U.S.		Murray Gell-Mann , Physics, 1969	1969	40
	Physiology or Medicine	United States	1912-05-30	2004-12-29	male	http://en.wikipedia.org/wiki/Julius_Axelrod	Julius Axelrod	New York City	Bethesda, Maryland	Julius Axelrod , Physiology or Medicine, 1970	1970	58
	Peace	United States	1914-03-25	2009-09-12	male	http://en.wikipedia.org/wiki/Norman_Borlaug	Norman Borlaug	Saude , near  Cresco ,  Iowa ,  United States	Dallas ,  Texas ,  United States	Norman Borlaug , Peace, 1970	1970	56
	Economics	United States	1915-05-15	2009-12-13	male	http://en.wikipedia.org/wiki/Paul_A._Samuelson	Paul A. Samuelson	Gary, Indiana, USA	Belmont, Massachusetts, USA	Paul A. Samuelson , Economics, 1970	1970	55
	Physiology or Medicine	United States	1915-11-19	1974-03-09	male	http://en.wikipedia.org/wiki/Earl_Wilbur_Sutherland_Jr.	Earl W. Sutherland Jr.	Burlingame, Kansas	Miami, Florida	Earl W. Sutherland Jr. , Physiology or Medicine, 1971	1971	56
Serbia	Literature	Yugoslavia	1892-10-09	1975-03-13	male	http://en.wikipedia.org/wiki/Ivo_Andri%C4%87	Ivo Andrić	Dolac (village near Travnik), Austria-Hungary (present-day Bosnia and Herzegovina)	Belgrade, SR Serbia, SFR Yugoslavia (present-day Serbia)	Ivo Andrić ,  born in Austro-Hungarian Empire, now Bosnia and Herzegovina , Literature, 1961	1961	69
	Peace	Yemen	1979-02-07		female	http://en.wikipedia.org/wiki/Tawakkol_Karman	Tawakkol Karman	Taiz   Yemen		Tawakkol Karman , Peace, 2011	2011	32
	Peace	Vietnam	1911-10-14	1990-10-13	male	http://en.wikipedia.org/wiki/L%C3%AA_%C3%90%E1%BB%A9c_Th%E1%BB%8D	Lê Ðức Thọ	Hà Nam Province ,  Vietnam	Hanoi ,  Socialist Republic of Vietnam	Lê Ðức Thọ ,  born in French Indochina , Peace, 1973 (declined)	1973	62
	Peace	United States	1858-10-27	1919-01-06	male	http://en.wikipedia.org/wiki/Theodore_Roosevelt	Theodore Roosevelt	New York City	Oyster Bay, New York	Theodore Roosevelt , Peace, 1906	1906	48
	Physics	United States	1852-12-29	1931-05-09	male	http://en.wikipedia.org/wiki/Albert_A._Michelson	Albert A. Michelson	Strzelno , Poland	Pasadena, California	Albert A. Michelson ,  born in then Germany, now Poland , Physics, 1907	1907	55
	Peace	United States	1845-02-15	1937-02-07	male	http://en.wikipedia.org/wiki/Elihu_Root	Elihu Root	Clinton, New York ,  U.S.	New York, New York ,  U.S.	Elihu Root , Peace, 1912	1912	67
	Chemistry	United States	1868-01-31	1928-04-02	male	http://en.wikipedia.org/wiki/Theodore_W._Richards	Theodore W. Richards	Germantown ,  Pennsylvania	Cambridge ,  Massachusetts	Theodore W. Richards , Chemistry, 1914	1914	46
	Peace	United States	1856-12-28	1924-02-03	male	http://en.wikipedia.org/wiki/Woodrow_Wilson	Woodrow Wilson	Staunton, Virginia , United States	Washington, D.C., United States	Woodrow Wilson , Peace, 1919	1919	63
	Physics	United States	1868-03-22	1953-12-19	male	http://en.wikipedia.org/wiki/Robert_A._Millikan	Robert A. Millikan	Morrison, Illinois ,  U.S.	San Marino ,  California ,  U.S.	Robert A. Millikan , Physics, 1923	1923	55
	Peace	United States	1865-08-27	1951-04-23	male	http://en.wikipedia.org/wiki/Charles_G._Dawes	Charles G. Dawes	Marietta ,  Ohio	Evanston ,  Illinois	Charles G. Dawes , Peace, 1925	1925	60
	Physics	United States	1892-09-10	1962-03-15	male	http://en.wikipedia.org/wiki/Arthur_H._Compton	Arthur H. Compton	Wooster, Ohio, United States	Berkeley, California, United States	Arthur H. Compton , Physics, 1927	1927	35
	Peace	United States	1856-12-22	1937-12-21	male	http://en.wikipedia.org/wiki/Frank_B._Kellogg	Frank B. Kellogg	Potsdam, New York ,  U.S.	St. Paul, Minnesota ,  U.S.	Frank B. Kellogg , Peace, 1929	1929	73
	Literature	United States	1885-02-07	1951-01-10	male	http://en.wikipedia.org/wiki/Sinclair_Lewis	Sinclair Lewis	Sauk Centre, Minnesota, United States	Rome, Italy	Sinclair Lewis , Literature, 1930	1930	45
	Peace	United States	1862-04-02	1947-12-07	male	http://en.wikipedia.org/wiki/Nicholas_M._Butler	Nicholas M. Butler	Elizabeth, New Jersey	New York City	Nicholas M. Butler , Peace, 1931	1931	69
	Peace	United States	1860-09-06	1935-05-21	female	http://en.wikipedia.org/wiki/Jane_Addams	Jane Addams	Cedarville ,  Illinois ,  United States	Chicago, Illinois ,  U.S.	Jane Addams , Peace, 1931	1931	71
	Chemistry	United States	1881-01-31	1957-08-16	male	http://en.wikipedia.org/wiki/Irving_Langmuir	Irving Langmuir	Brooklyn, New York	Woods Hole, Massachusetts	Irving Langmuir , Chemistry, 1932	1932	51
	Physiology or Medicine	United States	1866-09-25	1945-12-04	male	http://en.wikipedia.org/wiki/Thomas_H._Morgan	Thomas H. Morgan	Lexington, Kentucky	Pasadena, California	Thomas H. Morgan , Physiology or Medicine, 1933	1933	67
	Physiology or Medicine	United States	1878-08-28	1976-02-01	male	http://en.wikipedia.org/wiki/George_H._Whipple	George H. Whipple	Ashland, New Hampshire	Rochester, New York	George H. Whipple , Physiology or Medicine, 1934	1934	56
	Physiology or Medicine	United States	1892-02-06	1987-10-09	male	http://en.wikipedia.org/wiki/William_P._Murphy	William P. Murphy			William P. Murphy , Physiology or Medicine, 1934	1934	42
	Physiology or Medicine	United States	1885-12-02	1950-02-25	male	http://en.wikipedia.org/wiki/George_R._Minot	George R. Minot	Boston ,  Massachusetts		George R. Minot , Physiology or Medicine, 1934	1934	49
	Chemistry	United States	1893-04-29	1981-01-05	male	http://en.wikipedia.org/wiki/Harold_C._Urey	Harold C. Urey	Walkerton, Indiana	La Jolla, California	Harold C. Urey , Chemistry, 1934	1934	41
	Physics	United States	1905-09-03	1991-01-11	male	http://en.wikipedia.org/wiki/Carl_David_Anderson	Carl Anderson	New York City, New York ,  USA	San Marino, California ,  USA	Carl Anderson , Physics, 1936	1936	31
	Literature	United States	1888-10-16	1953-11-27	male	http://en.wikipedia.org/wiki/Eugene_O%27Neill	Eugene O'Neill	New York City, New York, US	Boston ,  Massachusetts , US	Eugene O'Neill , Literature, 1936	1936	48
	Physics	United States	1881-10-22	1958-02-01	male	http://en.wikipedia.org/wiki/Clinton_Davisson	Clinton Davisson	Bloomington, Illinois , USA	Charlottesville, Virginia , USA	Clinton Davisson , Physics, 1937	1937	56
	Literature	United States	1892-06-26	1973-03-06	female	http://en.wikipedia.org/wiki/Pearl_S._Buck	Pearl S. Buck	Hillsboro ,  West Virginia , United States	Danby ,  Vermont , United States	Pearl S. Buck , Literature, 1938	1938	46
	Physics	United States	1901-08-08	1958-08-27	male	http://en.wikipedia.org/wiki/Ernest_Lawrence	Ernest Lawrence	Canton, South Dakota	Palo Alto ,  California	Ernest Lawrence , Physics, 1939	1939	38
	Physiology or Medicine	United States	1893-11-13	1986-10-23	male	http://en.wikipedia.org/wiki/Edward_A._Doisy	Edward A. Doisy	Hume, Illinois ,  USA	St. Louis, Missouri ,  USA	Edward A. Doisy , Physiology or Medicine, 1943	1943	50
Germany	Physics	United States	1888-02-17	1969-08-17	male	http://en.wikipedia.org/wiki/Otto_Stern	Otto Stern	Sohrau ,  Kingdom of Prussia	Berkeley, California , United States	Otto Stern ,  born in then Germany, now Poland , Physics, 1943	1943	55
	Physiology or Medicine	United States	1888-07-05	1963-05-11	male	http://en.wikipedia.org/wiki/Herbert_S._Gasser	Herbert S. Gasser	Platteville, Wisconsin		Herbert S. Gasser , Physiology or Medicine, 1944	1944	56
	Physiology or Medicine	United States	1874-01-05	1965-12-05	male	http://en.wikipedia.org/wiki/Joseph_Erlanger	Joseph Erlanger	San Francisco, California	St. Louis, Missouri	Joseph Erlanger , Physiology or Medicine, 1944	1944	70
	Physics	United States	1898-07-29	1988-01-11	male	http://en.wikipedia.org/wiki/Isidor_Isaac_Rabi	Isidor Isaac Rabi	Rymanów, Galicia, Austria-Hungary	Riverside Drive, New York, United States	Isidor Isaac Rabi ,  born in Austria , Physics, 1944	1944	46
	Peace	United States	1871-10-02	1955-07-23	male	http://en.wikipedia.org/wiki/Cordell_Hull	Cordell Hull	Olympus, Tennessee ,  U.S.	Washington, D.C. ,  U.S.	Cordell Hull , Peace, 1945	1945	74
	Physiology or Medicine	United States	1890-12-21	1967-04-05	male	http://en.wikipedia.org/wiki/Hermann_J._Muller	Hermann J. Muller	New York City , New York,  US	Indianapolis , Indiana,  US	Hermann J. Muller , Physiology or Medicine, 1946	1946	56
	Physics	United States	1882-04-21	1961-08-20	male	http://en.wikipedia.org/wiki/Percy_W._Bridgman	Percy W. Bridgman	Cambridge, Massachusetts ,  USA	Randolph, New Hampshire ,  USA	Percy W. Bridgman , Physics, 1946	1946	64
	Peace	United States	1865-05-25	1955-01-31	male	http://en.wikipedia.org/wiki/John_Mott	John R. Mott			John R. Mott , Peace, 1946	1946	81
	Peace	United States	1867-01-08	1961-01-09	female	http://en.wikipedia.org/wiki/Emily_Greene_Balch	Emily G. Balch	Boston , USA	Cambridge , USA	Emily G. Balch , Peace, 1946	1946	79
	Chemistry	United States	1891-07-05	1987-05-27	male	http://en.wikipedia.org/wiki/John_H._Northrop	John H. Northrop	Yonkers, New York ,  USA	Wickenburg, Arizona ,  USA	John H. Northrop , Chemistry, 1946	1946	55
	Chemistry	United States	1887-11-19	1955-08-12	male	http://en.wikipedia.org/wiki/James_B._Sumner	James B. Sumner	Canton, Massachusetts ,  USA	Buffalo, New York ,  USA	James B. Sumner , Chemistry, 1946	1946	59
	Chemistry	United States	1904-08-16	1971-06-15	male	http://en.wikipedia.org/wiki/Wendell_M._Stanley	Wendell M. Stanley	Ridgeville, Indiana ,  USA	Salamanca ,  Spain	Wendell M. Stanley , Chemistry, 1946	1946	42
Czech Republic	Physiology or Medicine	United States	1896-08-15	1957-10-26	female	http://en.wikipedia.org/wiki/Gerty_Cori	Gerty Cori	Prague ,  Austrian Empire		Gerty Cori ,  born in Austria , Physiology or Medicine, 1947	1947	51
	Physiology or Medicine	United States	1896-12-05	1984-10-20	male	http://en.wikipedia.org/wiki/Carl_Cori	Carl Cori	Prague	Cambridge, Massachusetts	Carl Cori ,  born in Austria , Physiology or Medicine, 1947	1947	51
United States	Literature	United States	1888-09-26	1965-01-04	male	http://en.wikipedia.org/wiki/T._S._Eliot	T. S. Eliot	St. Louis, Missouri , United States	London, UK, United Kingdom	T. S. Eliot *, Literature, 1948	1948	60
	Literature	United States	1897-09-25	1962-07-06	male	http://en.wikipedia.org/wiki/William_Faulkner	William Faulkner	Oxford, Mississippi , U.S.	Byhalia, Mississippi , U.S.	William Faulkner , Literature, 1949	1949	52
Canada	Chemistry	United States	1895-05-12	1982-03-28	male	http://en.wikipedia.org/wiki/William_Giauque	William Giauque	Niagara Falls, Ontario ,  Canada	Berkeley ,  California	William Giauque ,  born in Canada , Chemistry, 1949	1949	54
	Physiology or Medicine	United States	1886-03-08	1972-05-04	male	http://en.wikipedia.org/wiki/Edward_C._Kendall	Edward C. Kendall	South Norwalk, Connecticut ,  USA		Edward C. Kendall , Physiology or Medicine, 1950	1950	64
	Physiology or Medicine	United States	1896-02-28	1965-03-30	male	http://en.wikipedia.org/wiki/Philip_S._Hench	Philip S. Hench	Pittsburgh, Pennsylvania ,  USA		Philip S. Hench , Physiology or Medicine, 1950	1950	54
	Peace	United States	1903-08-17	1971-12-09	male	http://en.wikipedia.org/wiki/Ralph_Bunche	Ralph J. Bunche	Detroit, Michigan	New York City	Ralph J. Bunche , Peace, 1950	1950	47
	Chemistry	United States	1912-04-19	1999-02-25	male	http://en.wikipedia.org/wiki/Glenn_Theodore_Seaborg	Glenn Theodore Seaborg	Ishpeming , Michigan	Lafayette , California	Glenn Theodore Seaborg , Chemistry, 1951	1951	39
	Chemistry	United States	1907-09-18	1991-09-07	male	http://en.wikipedia.org/wiki/Edwin_M._McMillan	Edwin M. McMillan	Redondo Beach, California , USA	El Cerrito, Contra Costa County, California , USA	Edwin M. McMillan , Chemistry, 1951	1951	44
Ukraine	Physiology or Medicine	United States	1888-07-22	1973-08-16	male	http://en.wikipedia.org/wiki/Selman_A._Waksman	Selman A. Waksman	Pryluky , near  Kiev , Ukraine	Woods Hole ,  Barnstable County, Massachusetts , United States of America	Selman A. Waksman ,  born in then Russian Empire, now Ukraine , Physiology or Medicine, 1952	1952	64
	Physics	United States	1905-10-23	1983-09-10	male	http://en.wikipedia.org/wiki/Felix_Bloch	Felix Bloch	Zürich , Switzerland	Zürich , Switzerland	Felix Bloch ,  born in Switzerland , Physics, 1952	1952	47
	Physics	United States	1912-08-30	1997-03-07	male	http://en.wikipedia.org/wiki/E._M._Purcell	E. M. Purcell	Taylorville, Illinois ,  USA	Cambridge, Massachusetts ,  USA	E. M. Purcell , Physics, 1952	1952	40
	Physiology or Medicine	United States	1899-06-12	1986-07-24	male	http://en.wikipedia.org/wiki/Fritz_Lipmann	Fritz Lipmann	Königsberg ,  Germany	Poughkeepsie, New York , U.S.	Fritz Lipmann ,  born in then Germany, now Russia , Physiology or Medicine, 1953	1953	54
	Peace	United States	1880-12-31	1959-10-16	male	http://en.wikipedia.org/wiki/George_Marshall	George C. Marshall	Uniontown ,  Pennsylvania ,  United States	Washington, D.C. ,  United States	George C. Marshall , Peace, 1953	1953	73
	Physiology or Medicine	United States	1915-06-15	2008-08-23	male	http://en.wikipedia.org/wiki/Thomas_H._Weller	Thomas H. Weller	Ann Arbor ,  Michigan	Needham ,  Massachusetts	Thomas H. Weller , Physiology or Medicine, 1954	1954	39
